English,Spanish,French,Hindi?
Hello,Hola,Bonjour,नमस्ते
This was fun,Esto fue divertido,C'était amusant,यह मजेदार था
This is my room,Esta es mi habitación,C'est ma chambre,यह मेरा कमरा है
We don't need that,No necesitamos eso,Nous n'avons pas besoin de ça,हमें इसकी आवश्यकता नहीं है
We stop at the park,Nos detenemos en el parque,Nous nous arrêtons au parc,हम पार्क में रुकते हैं
car,auto,voiture,कार
weather,clima,météo,मौसम
time,tiempo,temps,समय
computer,computadora,ordinateur,कंप्यूटर
monitor,monitor,moniteur,निगरानी करना
screen,pantalla,écran,स्क्रीन
desk,escritorio,bureau,मेज़
fan,admirador,ventilateur,पंखा
fridge,refrigerador,réfrigérateur,फ़्रिज
refridgerator,refrigerador,réfrigérateur,रेफ्रिडेजर
water heater,calentador de agua,chauffe-eau,वाटर हीटर
boiler,caldera,Chaudière,बायलर
glasses,anteojos,lunettes,चश्मा
chair,silla,chaise,कुर्सी
air conditioner,aire acondicionado,climatiseur,एयर कंडीशनर
taxi,Taxi,Taxi,टैक्सी
I forgot my wallet at home,Olvidé mi billetera en casa,J'ai oublié mon portefeuille à la maison,मैं घर पर अपना बटुआ भूल गया
my house,mi casa,ma maison,मेरा घ
that is mine,eso es mio,c'est à moi,वह मेरी चीज़ है
I made rice for dinner tonight,Hice arroz para cenar esta noche,J'ai fait du riz pour le dîner ce soir,मैंने आज रात के खाने के लिए चावल बनाया
Things in the US are very bad right now,Las cosas en los Estados Unidos son muy malas en este momento,"Aux États-Unis, les choses sont très mauvaises en ce moment",अमेरिका में चीजें अभी बहुत खराब हैं
Nobody can find work,Nadie puede encontrar trabajo,Personne ne peut trouver du travail,कोई भी काम नहीं पा सकता है
I don't smoke,No fumo,Je ne fume pas,मैं धूम्रपान नहीं करता
I need to practice more,Necesito practicar más,J'ai besoin de pratiquer davantage,मुझे ज़्यादा अभ्यास करना चाहिए
I lost my debit card,Perdí mi tarjeta de débito,J'ai perdu ma carte de débit,मैंने अपना डेबिट कार्ड खो दिया
made,hecho,fait,बनाया
Can I have an ashtray? ,¿Me puede dar un cenicero?,Puis-je avoir un cendrier?,क्या मेरे पास एक ऐशट्रे हो सकता है?
My parents have many medical issues,Mis padres tienen muchos problemas médicos,Mes parents ont de nombreux problèmes médicaux,मेरे माता -पिता के पास कई चिकित्सा मुद्दे हैं
I need to clean my house,Necesito limpiar mi casa,J'ai besoin de nettoyer ma maison,मुझे अपना घर साफ करने की जरूरत है
I haven't returned to the US to visit friends in a while,No he regresado a los Estados Unidos para visitar amigos en mucho tiempo,Je ne suis pas retourné aux États-Unis pour rendre visite à des amis depuis un moment,मैं थोड़ी देर में दोस्तों से मिलने के लिए अमेरिका नहीं लौटा
Things are corrupt and dangerous in the US,Las cosas son corruptas y peligrosas en los Estados Unidos,Les choses sont corrompues et dangereuses aux États-Unis,अमेरिका में चीजें भ्रष्ट और खतरनाक हैं
The people there are arrogant and entitled,La gente allí es arrogante y con derecho,Les gens là-bas sont arrogants et autorisés,वहां के लोग घमंडी और हकदार हैं
"The police and governments at the city, state and federal level all steal money from people","La policía y los gobiernos en el nivel de la ciudad, el estado y federal se roban dinero de las personas.","La police et les gouvernements de la ville, de l'État et du niveau fédéral volent tous de l'argent aux gens","शहर, राज्य और संघीय स्तर पर पुलिस और सरकारें सभी लोगों से पैसे चुराती हैं"
My mom is going to have to delay her trip for a few months,Mi mamá tendrá que retrasar su viaje por unos meses,Ma mère va devoir retarder son voyage pendant quelques mois,मेरी माँ को कुछ महीनों के लिए अपनी यात्रा में देरी करनी होगी
They won't be able to visit before the last day of the lease,No podrán visitar antes del último día del contrato de arrendamiento.,Ils ne pourront pas visiter avant le dernier jour du bail,वे पट्टे के अंतिम दिन से पहले नहीं जा पाएंगे
I am a stock trader,Soy un operador de acciones,Je suis un commerçant,मैं एक स्टॉक ट्रेडर हूं
I am an investor,Soy un inversor,Je suis un investisseur,मैं एक निवेशक हूं
I am a stockbroker,Soy un corredor de bolsa,Je suis courtier,मैं एक स्टॉकब्रोकर हूं
I play a lot of video games,Juego muchos videojuegos,Je joue beaucoup de jeux vidéo,मैं बहुत सारे वीडियो गेम खेलता हूं
I grew up in Chicago,Crecí en Chicago,J'ai grandi à Chicago,मैं शिकागो में बड़ा हुआ
I have trouble relating to people,Tengo problemas para relacionarse con la gente,J'ai du mal à se rapporter aux gens,मुझे लोगों से संबंधित परेशानी है
I haven't met many people here yet,No he conocido a mucha gente aquí todavía,Je n'ai pas encore rencontré beaucoup de gens ici,मैं अभी तक यहां कई लोगों से नहीं मिला
My spanish is not very good yet,Mi español aún no es muy bueno,Mon espagnol n'est pas encore très bon,मेरा स्पेनिश अभी तक बहुत अच्छा नहीं है
I have trouble with grammar when speaking spanish,Tengo problemas con la gramática al hablar español,J'ai des problèmes avec la grammaire en parlant espagnol,स्पेनिश बोलते समय मुझे व्याकरण से परेशानी होती है
My air conditioner is broken,Mi aire acondicionado está roto,Mon climatiseur est cassé,मेरा एयर कंडीशनर टूट गया है
I need to replace my water heater with a tankless unit. ,Necesito reemplazar mi calentador de agua con una unidad sin tanque.,J'ai besoin de remplacer mon chauffe-eau par une unité sans réservoir.,मुझे अपने वॉटर हीटर को एक टैंकलेस यूनिट के साथ बदलने की आवश्यकता है।
I think sometimes about getting a car. ,A veces pienso en conseguir un auto.,Je pense parfois à obtenir une voiture.,मुझे लगता है कि कभी -कभी कार पाने के बारे में।
I've been in a depressed funk recently,He estado en un funk deprimido recientemente,J'ai été dans un funk déprimé récemment,मैं हाल ही में एक उदास दुर्गंध में रहा हूँ
I'm terrified about the prospect of death,Estoy aterrorizado por la perspectiva de la muerte,Je suis terrifié par la perspective de la mort,मैं मौत की संभावना से घबरा गया हूं
There is too much gun violence in the US,Hay demasiada violencia armada en los Estados Unidos,Il y a trop de violence armée aux États-Unis,अमेरिका में बहुत अधिक बंदूक हिंसा है
I haven't dated many people in the last few years,No he salido con mucha gente en los últimos años,Je ne suis pas sorti avec beaucoup de gens au cours des dernières années,मैंने पिछले कुछ वर्षों में कई लोगों को डेट नहीं किया है
I think,Creo,Je pense,मुझे लगता है
You think,Crees,Tu penses,आपको लगता है
They think,Ellos piensan,Ils pensent,उन्हें लगता है
I miss the weather from Chicago,Extraño el clima de Chicago,Le temps me manque de Chicago,मुझे शिकागो से मौसम की याद आती है
My mother was leasing an apartment nearby,Mi madre estaba alquilando un apartamento cerca,Ma mère louait un appartement à proximité,मेरी माँ पास के एक अपार्टमेंट को पट्टे पर दे रही थी
My mom remarried,Mi mamá se volvió a casar,Ma mère s'est remariée,मेरी माँ ने पुनर्विवाह किया
My grandparents are dead,Mis abuelos están muertos,Mes grands-parents sont morts,मेरे दादा -दादी मर चुके हैं
My stepdad,Mi padrastro,Mon beau-père,मेरे सौतेले पिता
My stepdad's parents,Los padres de mi padrastro,Les parents de mon beau-père,मेरे सौतेले पिता के माता -पिता
I have a cyst on my arm,Tengo un quiste en mi brazo,J'ai un kyste sur mon bras,मेरी बांह पर एक पुटी है
I got mercury poisoning from tuna,Tengo envenenamiento por mercurio del atún,J'ai un empoisonnement au mercure du thon,मुझे टूना से पारा विषाक्तता मिली
I felt anxious and depressed,Me sentí ansioso y deprimido,Je me sentais anxieux et déprimé,मैं चिंतित और उदास महसूस कर रहा था
Me and my dad don't get along well,Mi papá y yo no nos llevamos bien,Moi et mon père ne s'entendons pas bien,मैं और मेरे पिताजी अच्छी तरह से नहीं मिलते हैं
I don't have a car,No tengo coche,Je n'ai pas de voiture,मेरे पास कार नहीं है